CME_ID,t0,dt0_h,pa_deg,da_deg,v_km_s,dv_km_s,minv_km_s,maxv_km_s,halo
0070,2022-01-25 12:36:00,1.0,159.0,8.0,205.0,12.0,189.0,223.0,
0071,2022-01-25 13:36:00,1.0,84.0,10.0,459.0,48.0,363.0,488.0,
0072,2022-01-26 08:12:00,1.0,71.0,12.0,242.0,74.0,179.0,400.0,
0073,2022-01-26 08:36:00,1.0,80.0,34.0,379.0,103.0,204.0,496.0,
0074,2022-01-26 10:48:00,2.0,291.0,28.0,242.0,55.0,168.0,365.0,
0075,2022-01-26 11:36:00,1.0,280.0,10.0,407.0,42.0,373.0,480.0,
0076,2022-01-26 13:36:00,1.0,132.0,18.0,332.0,116.0,249.0,625.0,
0077,2022-01-26 21:24:00,2.0,101.0,116.0,434.0,73.0,236.0,600.0,II
0078,2022-01-26 21:24:00,1.0,125.0,16.0,254.0,24.0,224.0,309.0,
0079,2022-01-28 02:48:00,1.0,83.0,12.0,246.0,47.0,211.0,352.0,
0080,2022-01-28 03:24:00,1.0,30.0,26.0,252.0,19.0,232.0,287.0,
0081,2022-01-28 18:12:00,1.0,117.0,8.0,822.0,456.0,355.0,1562.0,
0082,2022-01-29 05:24:00,1.0,86.0,14.0,214.0,6.0,204.0,224.0,
0083,2022-01-29 16:24:00,3.0,77.0,36.0,214.0,62.0,101.0,325.0,
0084,2022-01-29 23:36:00,1.0,6.0,166.0,351.0,102.0,175.0,563.0,II
0085,2022-01-29 23:36:00,1.0,115.0,24.0,563.0,44.0,496.0,657.0,
0086,2022-01-29 23:48:00,1.0,157.0,20.0,372.0,58.0,284.0,480.0,
0087,2022-01-30 01:36:00,1.0,99.0,8.0,651.0,106.0,478.0,791.0,
0088,2022-01-30 08:12:00,1.0,79.0,16.0,303.0,71.0,218.0,449.0,
0089,2022-01-30 10:24:00,1.0,4.0,62.0,187.0,23.0,148.0,241.0,
0090,2022-01-30 11:12:00,1.0,16.0,10.0,143.0,44.0,127.0,222.0,
0091,2022-01-30 18:24:00,1.0,74.0,34.0,250.0,104.0,187.0,512.0,
0092,2022-01-31 00:12:00,1.0,64.0,18.0,234.0,113.0,111.0,452.0,
0093,2022-01-31 19:00:00,2.0,299.0,28.0,150.0,21.0,112.0,184.0,
0001,2022-02-01 00:00:00,2.0,241.0,52.0,446.0,43.0,367.0,548.0,
0002,2022-02-01 04:00:00,2.0,235.0,16.0,303.0,92.0,262.0,488.0,
0003,2022-02-01 06:00:00,3.0,65.0,20.0,106.0,31.0,100.0,187.0,
0004,2022-02-01 07:12:00,2.0,309.0,40.0,311.0,33.0,286.0,400.0,
0005,2022-02-02 01:36:00,3.0,238.0,34.0,416.0,135.0,131.0,637.0,
0006,2022-02-02 08:12:00,1.0,220.0,10.0,562.0,245.0,202.0,976.0,
0007,2022-02-02 08:48:00,4.0,233.0,40.0,178.0,68.0,99.0,332.0,
0008,2022-02-02 21:24:00,2.0,59.0,12.0,315.0,51.0,229.0,369.0,
0009,2022-02-03 03:24:00,2.0,242.0,58.0,568.0,118.0,315.0,822.0,
0010,2022-02-03 03:36:00,1.0,296.0,14.0,492.0,146.0,242.0,762.0,
0011,2022-02-03 04:12:00,2.0,58.0,18.0,179.0,66.0,100.0,288.0,
0012,2022-02-03 15:12:00,6.0,65.0,64.0,175.0,147.0,100.0,726.0,
0013,2022-02-03 17:48:00,1.0,287.0,56.0,251.0,36.0,189.0,343.0,
0014,2022-02-03 21:24:00,2.0,286.0,58.0,308.0,68.0,181.0,466.0,
0015,2022-02-04 00:00:00,1.0,275.0,44.0,299.0,102.0,137.0,512.0,
0016,2022-02-04 07:12:00,1.0,253.0,12.0,398.0,10.0,385.0,411.0,
0017,2022-02-04 15:21:00,2.0,66.0,14.0,535.0,434.0,367.0,1420.0,
0018,2022-02-04 16:36:00,0.0,280.0,10.0,396.0,219.0,223.0,791.0,
0019,2022-02-04 16:48:00,2.0,272.0,34.0,212.0,110.0,119.0,466.0,
0020,2022-02-04 22:24:00,1.0,285.0,16.0,456.0,25.0,415.0,504.0,
0021,2022-02-05 03:12:00,2.0,274.0,18.0,271.0,86.0,218.0,459.0,
0022,2022-02-06 05:12:00,1.0,242.0,42.0,529.0,79.0,385.0,718.0,
0023,2022-02-06 07:36:00,1.0,42.0,6.0,481.0,141.0,300.0,679.0,
0024,2022-02-06 11:48:00,1.0,293.0,64.0,405.0,119.0,153.0,664.0,
0025,2022-02-06 12:12:00,1.0,215.0,16.0,520.0,113.0,246.0,612.0,
0026,2022-02-06 13:48:00,1.0,167.0,36.0,359.0,31.0,322.0,434.0,
0027,2022-02-06 13:48:00,1.0,134.0,14.0,401.0,97.0,378.0,595.0,
0028,2022-02-06 15:05:00,2.0,299.0,20.0,214.0,40.0,157.0,283.0,
0029,2022-02-06 15:48:00,1.0,210.0,6.0,130.0,21.0,102.0,160.0,
0030,2022-02-06 16:36:00,1.0,338.0,42.0,197.0,13.0,175.0,220.0,
0031,2022-02-07 02:00:00,2.0,38.0,22.0,398.0,136.0,292.0,686.0,
0032,2022-02-07 07:36:00,0.0,294.0,18.0,290.0,90.0,176.0,488.0,
0033,2022-02-07 08:48:00,2.0,233.0,28.0,258.0,24.0,206.0,306.0,
0034,2022-02-07 15:36:00,1.0,252.0,10.0,484.0,114.0,347.0,624.0,
0035,2022-02-08 06:12:00,6.0,107.0,68.0,315.0,44.0,256.0,411.0,
0036,2022-02-08 14:48:00,2.0,95.0,24.0,459.0,90.0,292.0,543.0,
0037,2022-02-10 03:24:00,1.0,275.0,8.0,416.0,73.0,289.0,466.0,
0038,2022-02-10 20:00:00,1.0,271.0,44.0,222.0,32.0,176.0,284.0,
0039,2022-02-10 23:24:00,2.0,272.0,42.0,312.0,83.0,128.0,372.0,
0040,2022-02-10 23:48:00,1.0,312.0,50.0,359.0,45.0,312.0,473.0,
0041,2022-02-11 00:24:00,1.0,307.0,24.0,456.0,31.0,416.0,520.0,
0042,2022-02-11 13:25:00,2.0,95.0,32.0,196.0,62.0,109.0,347.0,
0043,2022-02-12 03:36:00,1.0,259.0,12.0,201.0,22.0,174.0,246.0,
0044,2022-02-12 06:36:00,1.0,238.0,6.0,171.0,11.0,150.0,179.0,
0045,2022-02-12 09:12:00,2.0,272.0,94.0,428.0,166.0,223.0,905.0,II
0046,2022-02-12 12:24:00,8.0,101.0,52.0,152.0,36.0,111.0,289.0,
0047,2022-02-12 12:36:00,1.0,155.0,8.0,232.0,35.0,165.0,267.0,
0048,2022-02-12 16:48:00,1.0,64.0,6.0,547.0,369.0,337.0,1225.0,
0049,2022-02-12 17:48:00,3.0,248.0,90.0,381.0,298.0,156.0,1157.0,
0050,2022-02-12 18:00:00,0.0,274.0,22.0,405.0,135.0,128.0,504.0,
0051,2022-02-12 18:36:00,1.0,158.0,22.0,248.0,102.0,170.0,512.0,
0052,2022-02-13 02:36:00,2.0,273.0,56.0,410.0,33.0,351.0,492.0,
0053,2022-02-13 09:24:00,1.0,118.0,6.0,208.0,222.0,183.0,651.0,
0054,2022-02-13 13:25:00,1.0,287.0,12.0,217.0,24.0,197.0,271.0,
0055,2022-02-13 13:36:00,1.0,277.0,36.0,306.0,53.0,220.0,443.0,
0056,2022-02-13 16:48:00,1.0,272.0,14.0,336.0,29.0,286.0,390.0,
0057,2022-02-14 00:12:00,1.0,236.0,14.0,274.0,82.0,206.0,440.0,
0058,2022-02-14 06:24:00,3.0,251.0,56.0,227.0,57.0,127.0,355.0,
0059,2022-02-14 08:12:00,1.0,246.0,10.0,403.0,192.0,254.0,744.0,
0060,2022-02-14 16:36:00,1.0,158.0,22.0,240.0,20.0,236.0,289.0,
0061,2022-02-15 22:12:00,3.0,144.0,360.0,726.0,411.0,175.0,1735.0,IV
0062,2022-02-16 01:25:00,1.0,215.0,44.0,1739.0,317.0,794.0,1957.0,
0063,2022-02-16 01:36:00,4.0,82.0,14.0,344.0,106.0,116.0,446.0,
0064,2022-02-16 01:36:00,4.0,28.0,42.0,1116.0,591.0,264.0,1957.0,
0065,2022-02-16 04:48:00,1.0,87.0,8.0,237.0,79.0,102.0,339.0,
0066,2022-02-16 10:36:00,2.0,42.0,14.0,237.0,166.0,188.0,664.0,
0067,2022-02-16 13:36:00,2.0,236.0,42.0,589.0,255.0,223.0,1008.0,
0068,2022-02-16 15:16:00,1.0,226.0,10.0,490.0,167.0,226.0,744.0,
0069,2022-02-17 21:24:00,2.0,270.0,138.0,374.0,110.0,184.0,679.0,II
0070,2022-02-17 21:24:00,0.0,28.0,10.0,399.0,228.0,336.0,801.0,
0071,2022-02-18 03:12:00,1.0,284.0,34.0,239.0,46.0,174.0,352.0,
0072,2022-02-18 19:36:00,2.0,296.0,34.0,359.0,134.0,177.0,710.0,
0073,2022-02-18 19:36:00,2.0,302.0,6.0,231.0,19.0,208.0,260.0,
0074,2022-02-19 00:00:00,1.0,61.0,24.0,548.0,255.0,175.0,1077.0,
0075,2022-02-19 00:00:00,3.0,57.0,28.0,231.0,330.0,129.0,1163.0,
0076,2022-02-19 06:12:00,2.0,113.0,20.0,539.0,120.0,383.0,762.0,
0077,2022-02-19 18:00:00,4.0,120.0,90.0,248.0,50.0,175.0,376.0,
0078,2022-02-20 04:12:00,2.0,71.0,76.0,512.0,132.0,395.0,868.0,
0079,2022-02-20 04:48:00,1.0,137.0,8.0,595.0,71.0,520.0,694.0,
0080,2022-02-20 06:12:00,8.0,218.0,62.0,131.0,17.0,107.0,181.0,
0081,2022-02-20 07:48:00,2.0,60.0,26.0,161.0,61.0,132.0,301.0,
0082,2022-02-20 10:24:00,1.0,286.0,10.0,406.0,76.0,252.0,473.0,
0083,2022-02-22 13:48:00,4.0,308.0,42.0,252.0,91.0,101.0,380.0,
